,T1,T2,Season,1Seed-2Seed,ScoreAvgDiff,NumotAvgDiff,FgmAvgDiff,FgaAvgDiff,Fgm3AvgDiff,Fga3AvgDiff,FtmAvgDiff,FtaAvgDiff,OrAvgDiff,DrAvgDiff,AstAvgDiff,ToAvgDiff,StlAvgDiff,BlkAvgDiff,PfAvgDiff,ScorediffAvgDiff,WinAvgDiff,T1 WL
13,Kentucky,Xavier,2011,-2,3.81133919,-0.098729228,2.17497556,4.98826979,1.847507332,1.99706745,-2.38611926,-2.32746823,1.86510264,0.74193548,-0.62561095,-1.30107527,-0.031280547,3.175953079,-1.07038123,4.511241451,-0.01661779,1
14,West Virginia,Xavier,2011,-1,-3.06451613,-0.129032258,-0.93548388,2.22580645,0.741935484,2.12903225,-1.93548387,-1.32258065,4.16129032,-2.22580646,1.74193548,0.12903225,-0.903225806,1.193548387,0.70967742,-2.612903226,-0.129032258,1
15,Ohio St,Washington,2011,-6,-6.42691623,-0.031194296,-2.92245989,-8.89661319,-1.435828877,-5.87522282,0.85383244,0.09001782,-2.82442068,-2.00891265,-1.53386809,-2.18716577,0.449197861,-2.009803921,-6.00802139,4.14349376,0.244206774,1
16,North Carolina,Washington,2011,-5,-6.84848485,-0.030303031,-2.45454545,-2.39393939,-3.575757576,-8.03030303,1.63636364,2.60606061,0.15151515,3.03030303,-1.81818182,1.15151516,-0.606060606,0,-4.03030303,-4.212121211,0.090909091,0
17,Syracuse,Washington,2011,-4,-9.90909091,0,-3.48484848,-7.15151515,-2.454545454,-5.66666667,-0.48484849,-0.48484849,-1.42424242,-0.06060606,-0.84848485,-0.24242424,2.030303031,1.484848485,-4.90909091,-2.84848485,0.090909091,0
18,Kentucky,Washington,2011,-3,-7.0909091,-0.030303031,-3.57575757,-6.3030303,-1.454545454,-5.21212121,1.51515151,0.63636364,-1.93939394,0.6969697,-4.45454545,-1.69696969,-1.242424242,0.93939394,-4.18181818,-0.54545454,0.060606061,1
19,West Virginia,Washington,2011,-2,-13.96676442,-0.060606061,-6.68621701,-9.06549364,-2.560117302,-5.08015641,1.9657869,1.64125122,0.35679374,-2.27077224,-2.08699902,-0.26686217,-2.114369501,-1.043010752,-2.40175953,-7.669599217,-0.051808407,0
20,Xavier,Washington,2011,-1,-10.90224829,0.068426197,-5.75073313,-11.29130009,-3.302052786,-7.20918866,3.90127077,2.96383187,-3.80449658,-0.04496578,-3.8289345,-0.39589442,-1.211143695,-2.236559139,-3.11143695,-5.056695991,0.077223851,0
21,Ohio St,George Mason,2011,-7,3.74448529,-0.064338235,1.53492647,0.93198529,0.663602941,0.94485294,0.01102941,-0.43933824,0.61213235,-1.20588235,1.30514706,-0.76102941,0.426470588,0.011029412,-2.89154412,5.45220588,0.128676471,1
22,North Carolina,George Mason,2011,-6,3.32291667,-0.06344697,2.00284091,7.43465909,-1.476325758,-1.21022727,0.79356061,2.07670455,3.58806818,3.83333333,1.02083333,2.57765152,-0.628787879,2.020833333,-0.91382576,-2.903409091,-0.024621212,0
23,Syracuse,George Mason,2011,-5,0.26231061,-0.033143939,0.97253788,2.67708333,-0.355113636,1.15340909,-1.32765152,-1.01420455,2.01231061,0.74242424,1.9905303,1.18371212,2.007575758,3.505681818,-1.79261364,-1.53977273,-0.024621212,1
24,Kentucky,George Mason,2011,-4,3.08049242,-0.06344697,0.88162879,3.52556818,0.644886364,1.60795455,0.67234848,0.10700758,1.49715909,1.5,-1.6155303,-0.27083333,-1.265151515,2.960227273,-1.06534091,0.76325758,-0.054924242,1
25,West Virginia,George Mason,2011,-3,-3.7953629,-0.09375,-2.22883065,0.76310484,-0.460685484,1.73991935,1.12298387,1.11189516,3.79334677,-1.46774194,0.75201613,1.15927419,-2.137096774,0.977822581,0.71471774,-6.360887097,-0.16733871,0
26,Xavier,George Mason,2011,-2,-0.73084677,0.035282258,-1.29334677,-1.46270161,-1.202620968,-0.3891129,3.05846774,2.43447581,-0.36794355,0.75806452,-0.98991935,1.03024194,-1.233870968,-0.215725806,0.00504032,-3.747983871,-0.038306452,0
27,Washington,George Mason,2011,-1,10.17140152,-0.033143939,4.45738636,9.82859848,2.099431818,6.82007576,-0.84280303,-0.52935606,3.43655303,0.8030303,2.83901515,1.42613636,-0.022727273,2.020833333,3.11647727,1.30871212,-0.115530303,1
28,Ohio St,Villanova,2011,-8,4.36948529,-0.001838235,3.15992647,0.36948529,1.038602941,-0.30514706,-2.98897059,-2.47058824,-1.04411765,-1.58088235,1.86764706,-1.79227941,0.832720588,-0.426470588,-3.20404412,10.10845588,0.284926471,1
29,North Carolina,Villanova,2011,-7,3.94791667,-0.00094697,3.62784091,6.87215909,-1.101325758,-2.46022727,-2.20643939,0.04545455,1.93181818,3.45833333,1.58333333,1.54640152,-0.222537879,1.583333333,-1.22632576,1.752840909,0.131628788,1
30,Syracuse,Villanova,2011,-6,0.88731061,0.029356061,2.59753788,2.11458333,0.019886364,-0.09659091,-4.32765152,-3.04545455,0.35606061,0.36742424,2.5530303,0.15246212,2.413825758,3.068181818,-2.10511364,3.11647727,0.131628788,1
31,Kentucky,Villanova,2011,-5,3.70549242,-0.00094697,2.50662879,2.96306818,1.019886364,0.35795455,-2.32765152,-1.92424242,-0.15909091,1.125,-1.0530303,-1.30208333,-0.858901515,2.522727273,-1.37784091,5.41950758,0.101325758,1
32,West Virginia,Villanova,2011,-4,-3.1703629,-0.03125,-0.60383065,0.20060484,-0.085685484,0.48991935,-1.87701613,-0.91935484,2.13709677,-1.84274194,1.31451613,0.12802419,-1.730846774,0.540322581,0.40221774,-1.704637097,-0.01108871,1
33,Xavier,Villanova,2011,-3,-0.10584677,0.097782258,0.33165323,-2.02520161,-0.827620968,-1.6391129,0.05846774,0.40322581,-2.02419355,0.38306452,-0.42741935,-0.00100806,-0.827620968,-0.653225806,-0.30745968,0.908266129,0.117943548,1
34,Washington,Villanova,2011,-2,10.79640152,0.029356061,6.08238636,9.26609848,2.474431818,5.57007576,-3.84280303,-2.56060606,1.78030303,0.4280303,3.40151515,0.39488636,0.383522727,1.583333333,2.80397727,5.96496212,0.040719697,1
35,George Mason,Villanova,2011,-1,0.625,0.0625,1.625,-0.5625,0.375,-1.25,-3,-2.03125,-1.65625,-0.375,0.5625,-1.03125,0.40625,-0.4375,-0.3125,4.65625,0.15625,1
36,Ohio St,Georgia,2011,-9,8.27573529,-0.158088235,2.44117647,0.21323529,2.663602941,4.00735294,0.72977941,0.77941176,-1.16911765,-2.04963235,0.43014706,-3.22977941,0.676470588,-1.707720588,-2.23529412,12.73345588,0.284926471,1
37,North Carolina,Georgia,2011,-8,7.85416667,-0.15719697,2.90909091,6.71590909,0.523674242,1.85227273,1.51231061,3.29545455,1.80681818,2.98958333,0.14583333,0.10890152,-0.378787879,0.302083333,-0.25757576,4.377840909,0.131628788,1
38,Syracuse,Georgia,2011,-7,4.79356061,-0.126893939,1.87878788,1.95833333,1.644886364,4.21590909,-0.60890152,0.20454545,0.23106061,-0.10132576,1.1155303,-1.28503788,2.257575758,1.786931818,-1.13636364,5.74147727,0.131628788,1
39,Kentucky,Georgia,2011,-6,7.61174242,-0.15719697,1.78787879,2.80681818,2.644886364,4.67045455,1.39109848,1.32575758,-0.28409091,0.65625,-2.4905303,-2.73958333,-1.015151515,1.241477273,-0.40909091,8.04450758,0.101325758,1
40,West Virginia,Georgia,2011,-5,0.7358871,-0.1875,-1.32258065,0.04435484,1.539314516,4.80241935,1.84173387,2.33064516,2.01209677,-2.31149194,-0.12298387,-1.30947581,-1.887096774,-0.740927419,1.37096774,0.920362903,-0.01108871,1
41,Xavier,Georgia,2011,-4,3.80040323,-0.058467742,-0.38709677,-2.18145161,0.797379032,2.6733871,3.77721774,3.65322581,-2.14919355,-0.08568548,-1.86491935,-1.43850806,-0.983870968,-1.934475806,0.66129032,3.533266129,0.117943548,1
42,Washington,Georgia,2011,-3,14.70265152,-0.126893939,5.36363636,9.10984848,4.099431818,9.88257576,-0.12405303,0.68939394,1.65530303,-0.0407197,1.96401515,-1.04261364,0.227272727,0.302083333,3.77272727,8.58996212,0.040719697,1
43,George Mason,Georgia,2011,-2,4.53125,-0.09375,0.90625,-0.71875,2,3.0625,0.71875,1.21875,-1.78125,-0.84375,-0.875,-2.46875,0.25,-1.71875,0.65625,7.28125,0.15625,1
44,Villanova,Georgia,2011,-1,3.90625,-0.15625,-0.71875,-0.15625,1.625,4.3125,3.71875,3.25,-0.125,-0.46875,-1.4375,-1.4375,-0.15625,-1.28125,0.96875,2.625,0,1
45,Ohio St,Marquette,2011,-10,1,0,0.82352941,-1.32352942,2.117647059,2.94117647,-2.76470588,-4.41176471,-1.20588236,-0.5,-0.20588235,-1.79411765,0,-0.294117647,-2.61764706,10.23529412,0.352941177,1
46,North Carolina,Marquette,2011,-9,0.57843138,0.000891265,1.29144385,5.17914438,-0.02228164,0.78609626,-1.98217468,-1.89572192,1.77005347,4.53921568,-0.49019608,1.54456328,-1.055258467,1.715686274,-0.6399287,1.879679144,0.199643494,1
47,Syracuse,Marquette,2011,-8,-2.48217468,0.031194296,0.26114082,0.42156862,1.098930482,3.14973262,-4.10338681,-4.98663102,0.1942959,1.44830659,0.47950089,0.15062388,1.58110517,3.200534759,-1.51871658,3.243315505,0.199643494,1
48,Kentucky,Marquette,2011,-7,0.33600713,0.000891265,0.17023173,1.27005347,2.098930482,3.60427808,-2.10338681,-3.86541889,-0.32085562,2.20588235,-3.12655971,-1.30392157,-1.691622103,2.655080214,-0.79144385,5.546345815,0.169340464,1
49,West Virginia,Marquette,2011,-6,-6.53984819,-0.029411765,-2.94022771,-1.49240987,0.993358634,3.73624288,-1.65275142,-2.86053131,1.97533206,-0.76185959,-0.75901328,0.12618595,-2.563567362,0.672675522,0.9886148,-1.577798862,0.056925996,1
50,Xavier,Marquette,2011,-5,-3.47533206,0.099620493,-2.00474383,-3.71821632,0.25142315,1.60721063,0.28273245,-1.53795066,-2.18595826,1.46394687,-2.50094876,-0.0028463,-1.660341556,-0.520872865,0.27893738,1.035104364,0.185958254,1
51,Washington,Marquette,2011,-4,7.42691623,0.031194296,3.7459893,7.57308377,3.553475936,8.81639929,-3.61853832,-4.50178253,1.61853832,1.50891265,1.32798574,0.39304812,-0.449197861,1.715686274,3.39037433,6.091800355,0.108734403,1
52,George Mason,Marquette,2011,-3,-2.74448529,0.064338235,-0.71139706,-2.25551471,1.454044118,1.99632353,-2.77573529,-3.97242647,-1.81801471,0.70588235,-1.51102941,-1.03308824,-0.426470588,-0.305147059,0.27389706,4.783088235,0.224264706,1
53,Villanova,Marquette,2011,-2,-3.36948529,0.001838235,-2.33639706,-1.69301471,1.079044118,3.24632353,0.22426471,-1.94117647,-0.16176471,1.08088235,-2.07352941,-0.00183824,-0.832720588,0.132352941,0.58639706,0.126838235,0.068014706,1
54,Georgia,Marquette,2011,-1,-7.27573529,0.158088235,-1.61764706,-1.53676471,-0.545955882,-1.06617647,-3.49448529,-5.19117647,-0.03676471,1.54963235,-0.63602941,1.43566176,-0.676470588,1.413602941,-0.38235294,-2.498161765,0.068014706,0
55,Ohio St,Clemson,2011,-11,8.83823529,-0.033088235,3.72242647,1.86948529,0.882352941,-0.74264706,0.51102941,0.37316176,-0.26286765,-0.14338235,2.71139706,-3.16727941,-0.854779412,-1.551470588,-4.11029412,9.95220588,0.284926471,1
56,North Carolina,Clemson,2011,-10,8.41666667,-0.03219697,4.19034091,8.37215909,-1.257575758,-2.89772727,1.29356061,2.88920455,2.71306818,4.89583333,2.42708333,0.17140152,-1.910037879,0.458333333,-2.13257576,1.596590909,0.131628788,1
57,Syracuse,Clemson,2011,-9,5.35606061,-0.001893939,3.16003788,3.61458333,-0.136363636,-0.53409091,-0.82765152,-0.20170455,1.13731061,1.80492424,3.3967803,-1.22253788,0.726325758,1.943181818,-3.01136364,2.96022727,0.131628788,1
58,Kentucky,Clemson,2011,-8,8.17424242,-0.03219697,3.06912879,4.46306818,0.863636364,-0.07954545,1.17234848,0.91950758,0.62215909,2.5625,-0.2092803,-2.67708333,-2.546401515,1.397727273,-2.28409091,5.26325758,0.101325758,1
59,West Virginia,Clemson,2011,-7,1.2983871,-0.0625,-0.04133065,1.70060484,-0.241935484,0.05241935,1.62298387,1.92439516,2.91834677,-0.40524194,2.15826613,-1.24697581,-3.418346774,-0.584677419,-0.50403226,-1.860887097,-0.01108871,1
60,Xavier,Clemson,2011,-6,4.36290323,0.066532258,0.89415323,-0.52520161,-0.983870968,-2.0766129,3.55846774,3.24697581,-1.24294355,1.82056452,0.41633065,-1.37600806,-2.515120968,-1.778225806,-1.21370968,0.752016129,0.117943548,1
61,Washington,Clemson,2011,-5,15.26515152,-0.001893939,6.64488636,10.76609848,2.318181818,5.13257576,-0.34280303,0.28314394,2.56155303,1.8655303,4.24526515,-0.98011364,-1.303977273,0.458333333,1.89772727,5.80871212,0.040719697,1
62,George Mason,Clemson,2011,-4,5.09375,0.03125,2.1875,0.9375,0.21875,-1.6875,0.5,0.8125,-0.875,1.0625,1.40625,-2.40625,-1.28125,-1.5625,-1.21875,4.5,0.15625,1
63,Villanova,Clemson,2011,-3,4.46875,-0.03125,0.5625,1.5,-0.15625,-0.4375,3.5,2.84375,0.78125,1.4375,0.84375,-1.375,-1.6875,-1.125,-0.90625,-0.15625,0,1
64,Georgia,Clemson,2011,-2,0.5625,0.125,1.28125,1.65625,-1.78125,-4.75,-0.21875,-0.40625,0.90625,1.90625,2.28125,0.0625,-1.53125,0.15625,-1.875,-2.78125,0,0
65,Marquette,Clemson,2011,-1,7.83823529,-0.033088235,2.89889706,3.19301471,-1.235294118,-3.68382353,3.27573529,4.78492647,0.94301471,0.35661765,2.91727941,-1.37316176,-0.854779412,-1.257352941,-1.49264706,-0.283088235,-0.068014706,0
66,Ohio St,UAB,2011,-11,8.18823529,-0.170588235,2.84117647,-0.31176471,-0.184313726,-4.58431373,2.69019608,4.16274509,-0.29411765,-1.20588235,1.95098039,-2.09019608,1.843137255,0.190196079,-2.53529412,10.69803921,0.207843138,1
67,North Carolina,UAB,2011,-10,7.76666667,-0.16969697,3.30909091,6.19090909,-2.324242425,-6.73939394,3.47272728,6.67878788,2.68181818,3.83333333,1.66666666,1.24848485,0.787878788,2.2,-0.55757576,2.342424242,0.054545455,1
68,Syracuse,UAB,2011,-9,4.70606061,-0.139393939,2.27878788,1.43333333,-1.203030303,-4.37575758,1.35151515,3.58787878,1.10606061,0.74242424,2.63636363,-0.14545455,3.424242425,3.684848485,-1.43636364,3.706060603,0.054545455,1
69,Kentucky,UAB,2011,-8,7.52424242,-0.16969697,2.18787879,2.28181818,-0.203030303,-3.92121212,3.35151515,4.70909091,0.59090909,1.5,-0.96969697,-1.6,0.151515152,3.13939394,-0.70909091,6.009090913,0.024242425,1
70,West Virginia,UAB,2011,-7,0.6483871,-0.2,-0.92258065,-0.48064516,-1.308602151,-3.78924732,3.80215054,5.71397849,2.88709677,-1.46774194,1.39784946,-0.16989248,-0.720430107,1.156989248,1.07096774,-1.115053764,-0.088172043,1
71,Xavier,UAB,2011,-6,3.71290323,-0.070967742,0.01290323,-2.70645161,-2.050537635,-5.91827957,5.73763441,7.03655914,-1.27419355,0.75806452,-0.34408602,-0.29892473,0.182795699,-0.036559139,0.36129032,1.497849462,0.040860215,1
72,Washington,UAB,2011,-5,14.61515152,-0.139393939,5.76363636,8.58484848,1.251515151,1.29090909,1.83636364,4.07272727,2.53030303,0.8030303,3.48484848,0.09696969,1.393939394,2.2,3.47272727,6.554545453,-0.036363636,1
73,George Mason,UAB,2011,-4,4.44375,-0.10625,1.30625,-1.24375,-0.847916667,-5.52916667,2.67916667,4.60208333,-0.90625,0,0.64583333,-1.32916667,1.416666667,0.179166667,0.35625,5.245833333,0.079166667,1
74,Villanova,UAB,2011,-3,3.81875,-0.16875,-0.31875,-0.68125,-1.222916667,-4.27916667,5.67916667,6.63333333,0.75,0.375,0.08333333,-0.29791667,1.010416667,0.616666667,0.66875,0.589583333,-0.077083333,1
75,Georgia,UAB,2011,-2,-0.0875,-0.0125,0.4,-0.525,-2.847916667,-8.59166667,1.96041667,3.38333333,0.875,0.84375,1.52083333,1.13958333,1.166666667,1.897916667,-0.3,-2.035416667,-0.077083333,0
76,Marquette,UAB,2011,-1,7.18823529,-0.170588235,2.01764706,1.01176471,-2.301960785,-7.5254902,5.45490196,8.5745098,0.91176471,-0.70588235,2.15686274,-0.29607843,1.843137255,0.484313726,0.08235294,0.462745098,-0.145098039,0
77,Clemson,UAB,2011,0,-0.65,-0.1375,-0.88125,-2.18125,-1.066666667,-3.84166667,2.17916667,3.78958333,-0.03125,-1.0625,-0.76041667,1.07708333,2.697916667,1.741666667,1.575,0.745833333,-0.077083333,0
78,Ohio St,Princeton,2011,-12,7.58823529,-0.137254902,3.00784314,2.78823529,1.249019608,1.44901961,0.32352941,1.26274509,1.439215683,-1.43921568,2.35098039,-2.12352941,1.343137255,-0.843137255,-3.33529412,11.69803921,0.141176471,1
79,North Carolina,Princeton,2011,-11,7.16666667,-0.136363637,3.47575758,9.29090909,-0.890909091,-0.7060606,1.10606061,3.77878788,4.415151513,3.6,2.06666666,1.21515152,0.287878788,1.166666666,-1.35757576,3.342424242,-0.012121212,1
80,Syracuse,Princeton,2011,-10,4.10606061,-0.106060606,2.44545455,4.53333333,0.230303031,1.65757576,-1.01515152,0.68787878,2.839393943,0.50909091,3.03636363,-0.17878788,2.924242425,2.651515151,-2.23636364,4.706060603,-0.012121212,1
81,Kentucky,Princeton,2011,-9,6.92424242,-0.136363637,2.35454546,5.38181818,1.230303031,2.11212122,0.98484848,1.80909091,2.324242423,1.26666667,-0.56969697,-1.63333333,-0.348484848,2.106060606,-1.50909091,7.009090913,-0.042424242,1
82,West Virginia,Princeton,2011,-8,0.0483871,-0.166666667,-0.75591398,2.61935484,0.124731183,2.24408602,1.43548387,2.81397849,4.620430103,-1.70107527,1.79784946,-0.20322581,-1.220430107,0.123655914,0.27096774,-0.115053764,-0.15483871,1
83,Xavier,Princeton,2011,-7,3.11290323,-0.037634409,0.1795699,0.39354839,-0.617204301,0.11505377,3.37096774,4.13655914,0.459139783,0.52473119,0.05591398,-0.33225806,-0.317204301,-1.069892473,-0.43870968,2.497849462,-0.025806452,1
84,Washington,Princeton,2011,-6,14.01515152,-0.106060606,5.93030303,11.68484848,2.684848485,7.32424243,-0.53030303,1.17272727,4.263636363,0.56969697,3.88484848,0.06363636,0.893939394,1.166666666,2.67272727,7.554545453,-0.103030303,1
85,George Mason,Princeton,2011,-5,3.84375,-0.072916667,1.47291667,1.85625,0.585416667,0.50416667,0.3125,1.70208333,0.827083333,-0.23333333,1.04583333,-1.3625,0.916666667,-0.854166667,-0.44375,6.245833333,0.0125,1
86,Villanova,Princeton,2011,-4,3.21875,-0.135416667,-0.15208333,2.41875,0.210416667,1.75416667,3.3125,3.73333333,2.483333333,0.14166667,0.48333333,-0.33125,0.510416667,-0.416666667,-0.13125,1.589583333,-0.14375,1
87,Georgia,Princeton,2011,-3,-0.6875,0.020833333,0.56666667,2.575,-1.414583333,-2.55833333,-0.40625,0.48333333,2.608333333,0.61041667,1.92083333,1.10625,0.666666667,0.864583333,-1.1,-1.035416667,-0.14375,1
88,Marquette,Princeton,2011,-2,6.58823529,-0.137254902,2.18431373,4.11176471,-0.868627451,-1.49215686,3.08823529,5.6745098,2.645098043,-0.93921568,2.55686274,-0.32941176,1.343137255,-0.549019608,-0.71764706,1.462745098,-0.211764706,1
89,Clemson,Princeton,2011,-1,-1.25,-0.104166667,-0.71458333,0.91875,0.366666667,2.19166667,-0.1875,0.88958333,1.702083333,-1.29583333,-0.36041667,1.04375,2.197916667,0.708333333,0.775,1.745833333,-0.14375,1
90,UAB,Princeton,2011,-1,-0.6,0.033333333,0.16666667,3.1,1.433333334,6.03333334,-2.36666667,-2.9,1.733333333,-0.23333333,0.4,-0.03333333,-0.5,-1.033333334,-0.8,1,-0.066666667,1
91,Ohio St,Indiana St,2011,-13,11.24448529,-0.095588235,5.09742647,2.93198529,0.632352941,-1.14889706,0.41727941,0.81066176,0.67463235,-1.11213235,3.24264706,-3.88602941,1.176470588,-0.957720588,-6.04779412,16.20220588,0.347426471,1
92,North Carolina,Indiana St,2011,-12,10.82291667,-0.09469697,5.56534091,9.43465909,-1.507575758,-3.30397727,1.19981061,3.32670455,3.65056818,3.92708333,2.95833333,-0.54734848,0.121212121,1.052083333,-4.07007576,7.846590909,0.194128788,1
93,Syracuse,Indiana St,2011,-11,7.76231061,-0.064393939,4.53503788,4.67708333,-0.386363636,-0.94034091,-0.92140152,0.23579545,2.07481061,0.83617424,3.9280303,-1.94128788,2.757575758,2.536931818,-4.94886364,9.21022727,0.194128788,1
94,Kentucky,Indiana St,2011,-10,10.58049242,-0.09469697,4.44412879,5.52556818,0.613636364,-0.48579545,1.07859848,1.35700758,1.55965909,1.59375,0.3219697,-3.39583333,-0.515151515,1.991477273,-4.22159091,11.51325758,0.163825758,1
95,West Virginia,Indiana St,2011,-9,3.7046371,-0.125,1.33366935,2.76310484,-0.491935484,-0.35383065,1.52923387,2.36189516,3.85584677,-1.37399194,2.68951613,-1.96572581,-1.387096774,0.009072581,-2.44153226,4.389112903,0.05141129,1
96,Xavier,Indiana St,2011,-8,6.76915323,0.004032258,2.26915323,0.53729839,-1.233870968,-2.4828629,3.46471774,3.68447581,-0.30544355,0.85181452,0.94758065,-2.09475806,-0.483870968,-1.184475806,-3.15120968,7.002016129,0.180443548,1
97,Washington,Indiana St,2011,-7,17.67140152,-0.064393939,8.01988636,11.82859848,2.068181818,4.72632576,-0.43655303,0.72064394,3.49905303,0.8967803,4.77651515,-1.69886364,0.727272727,1.052083333,-0.03977273,12.05871212,0.103219697,1
98,George Mason,Indiana St,2011,-6,7.5,-0.03125,3.5625,2,-0.03125,-2.09375,0.40625,1.25,0.0625,0.09375,1.9375,-3.125,0.75,-0.96875,-3.15625,10.75,0.21875,1
99,Villanova,Indiana St,2011,-5,6.875,-0.09375,1.9375,2.5625,-0.40625,-0.84375,3.40625,3.28125,1.71875,0.46875,1.375,-2.09375,0.34375,-0.53125,-2.84375,6.09375,0.0625,1
100,Georgia,Indiana St,2011,-4,2.96875,0.0625,2.65625,2.71875,-2.03125,-5.15625,-0.3125,0.03125,1.84375,0.9375,2.8125,-0.65625,0.5,0.75,-3.8125,3.46875,0.0625,1
101,Marquette,Indiana St,2011,-3,10.24448529,-0.095588235,4.27389706,4.25551471,-1.485294118,-4.09007353,3.18198529,5.22242647,1.88051471,-0.61213235,3.44852941,-2.09191176,1.176470588,-0.663602941,-3.43014706,5.966911765,-0.005514706,1
102,Clemson,Indiana St,2011,-2,2.40625,-0.0625,1.375,1.0625,-0.25,-0.40625,-0.09375,0.4375,0.9375,-0.96875,0.53125,-0.71875,2.03125,0.59375,-1.9375,6.25,0.0625,1
103,UAB,Indiana St,2011,-2,3.05625,0.075,2.25625,3.24375,0.816666667,3.43541667,-2.27291667,-3.35208333,0.96875,0.09375,1.29166667,-1.79583333,-0.666666667,-1.147916667,-3.5125,5.504166667,0.139583333,1
104,Princeton,Indiana St,2011,-1,3.65625,0.041666667,2.08958333,0.14375,-0.616666667,-2.59791667,0.09375,-0.45208333,-0.764583333,0.32708333,0.89166667,-1.7625,-0.166666667,-0.114583333,-2.7125,4.504166667,0.20625,1
105,Ohio St,Long Island,2011,-14,-5.50551471,-0.033088235,-0.59007353,-4.53676471,0.476102941,-0.99264706,-4.80147059,-9.40808824,-3.26286765,-4.08088235,0.49264706,-5.16727941,-0.167279412,-0.113970588,-2.98529412,8.54595588,0.097426471,1
106,North Carolina,Long Island,2011,-13,-5.92708333,-0.03219697,-0.12215909,1.96590909,-1.663825758,-3.14772727,-4.01893939,-6.89204545,-0.28693182,0.95833333,0.20833333,-1.82859848,-1.222537879,1.895833333,-1.00757576,0.190340909,-0.055871212,1
